NIT,SXT,CIP,LVX,iat_prop,broad_prop
0.001,0.001,0.001,0.001,0.11158831672752803,0.014102598198529662
0.001,0.001,0.015,0.015,0.10914235518189104,0.05818245592714155
0.001,0.001,0.1,0.1,0.09848492560658324,0.2349252716376419
0.001,0.001,0.2,0.2,0.08796753214633954,0.3847380161109615
0.001,0.001,0.3,0.3,0.07710917865626292,0.5393995620267102
0.001,0.001,0.4,0.4,0.06642124999740179,0.6796465136472498
0.001,0.001,0.5,0.5,0.057984673550432964,0.7857720399316425
0.001,0.001,0.6,0.6,0.05258490860722781,0.8723385582409582
0.001,0.001,0.7,0.7,0.04849658067056549,0.9335793043715992
0.001,0.001,0.8,0.8,0.04902040350222256,0.9657264136696768
0.001,0.001,0.9,0.9,0.05170830372540799,0.9778634171375232
0.001,0.015,0.001,0.001,0.11126611424348662,0.012936316297165708
0.001,0.015,0.015,0.015,0.10883430032855368,0.05553750448094445
0.001,0.015,0.1,0.1,0.09848632880059728,0.2282153314127565
0.001,0.015,0.2,0.2,0.08815170893147761,0.3747383572817433
0.001,0.015,0.3,0.3,0.07764523506190386,0.5262750156869955
0.001,0.015,0.4,0.4,0.06723802150858926,0.6637637693609763
0.001,0.015,0.5,0.5,0.059027246761488274,0.76736021958828
0.001,0.015,0.6,0.6,0.05402002922743069,0.8489339799121798
0.001,0.015,0.7,0.7,0.050353371262212315,0.905909956769052
0.001,0.015,0.8,0.8,0.05093350062585008,0.9371437745368096
0.001,0.015,0.9,0.9,0.053143679780114826,0.9485781774003422
0.001,0.1,0.001,0.001,0.11796075512880975,0.009379368908547042
0.001,0.1,0.015,0.015,0.11617493942801728,0.041326975955215436
0.001,0.1,0.1,0.1,0.1081334352816398,0.17249203293255605
0.001,0.1,0.2,0.2,0.09928739109173808,0.2938960889156964
0.001,0.1,0.3,0.3,0.09007571737632733,0.4301769556847549
0.001,0.1,0.4,0.4,0.08073802288400275,0.5562782323282359
0.001,0.1,0.5,0.5,0.07324343292310373,0.6532932828003392
0.001,0.1,0.6,0.6,0.06882872780401048,0.7280862164874107
0.001,0.1,0.7,0.7,0.065711495788744,0.7801384395449238
0.001,0.1,0.8,0.8,0.06637576750985613,0.8102326080573702
0.001,0.1,0.9,0.9,0.06845890782778961,0.8213155979485602
0.001,0.2,0.001,0.001,0.1265260446342901,0.006972668214532707
0.001,0.2,0.015,0.015,0.12538696699911175,0.028200939956394742
0.001,0.2,0.1,0.1,0.12059378393424228,0.10055025556349476
0.001,0.2,0.2,0.2,0.11436395604244674,0.1841096564030018
0.001,0.2,0.3,0.3,0.1056869063450672,0.3095410481451768
0.001,0.2,0.4,0.4,0.0967435878328043,0.4288224048445642
0.001,0.2,0.5,0.5,0.08961478393601083,0.5218852276260714
0.001,0.2,0.6,0.6,0.08543864151779051,0.5929391156187549
0.001,0.2,0.7,0.7,0.08242003902570165,0.6426556385789733
0.001,0.2,0.8,0.8,0.0831260363966995,0.6720593727812663
0.001,0.2,0.9,0.9,0.08522338811220538,0.6830441883170894
0.001,0.3,0.001,0.001,0.13234029952232007,0.004821033271833407
0.001,0.3,0.015,0.015,0.13179184245360226,0.016156090025376414
0.001,0.3,0.1,0.1,0.1295568813869727,0.051497592689199734
0.001,0.3,0.2,0.2,0.1255483576278943,0.1049858827475392
0.001,0.3,0.3,0.3,0.1179822870741933,0.21592055722606526
0.001,0.3,0.4,0.4,0.1097422209282762,0.3249296055294126
0.001,0.3,0.5,0.5,0.10314750334468006,0.4098761803902493
0.001,0.3,0.6,0.6,0.0995744640883319,0.4740202829250526
0.001,0.3,0.7,0.7,0.09676728806063402,0.5199715420316916
0.001,0.3,0.8,0.8,0.09754222978533432,0.5481406677597547
0.001,0.3,0.9,0.9,0.09968155310027756,0.5589150773336284
0.001,0.4,0.001,0.001,0.13844454358980576,0.00295106994894209
0.001,0.4,0.015,0.015,0.1382334315170201,0.009067355330279513
0.001,0.4,0.1,0.1,0.13712382106563148,0.02728433550108837
0.001,0.4,0.2,0.2,0.13504128901520862,0.0573470295821251
0.001,0.4,0.3,0.3,0.12857334221042913,0.15200369058509766
0.001,0.4,0.4,0.4,0.12126151691584272,0.2478767368746076
0.001,0.4,0.5,0.5,0.11507384513969145,0.3219285463336412
0.001,0.4,0.6,0.6,0.11213582005846978,0.3736537494265498
0.001,0.4,0.7,0.7,0.10966416546273587,0.4129971590938767
0.001,0.4,0.8,0.8,0.11053778121653172,0.4391422364637244
0.001,0.4,0.9,0.9,0.11260636614791986,0.4493119158730751
0.001,0.5,0.001,0.001,0.14616868686029344,0.001798857132647273
0.001,0.5,0.015,0.015,0.14607044081875412,0.005396491997272303
0.001,0.5,0.1,0.1,0.14538141806796828,0.015862660847455304
0.001,0.5,0.2,0.2,0.1440295237879812,0.03558086806485373
0.001,0.5,0.3,0.3,0.1393884258887063,0.10377284410558443
0.001,0.5,0.4,0.4,0.1335113565627271,0.1790099796261157
0.001,0.5,0.5,0.5,0.12867491847612506,0.2375155069857233
0.001,0.5,0.6,0.6,0.1266783244495717,0.2767076613155812
0.001,0.5,0.7,0.7,0.12498002201204855,0.3062881471574978
0.001,0.5,0.8,0.8,0.1258828747544929,0.3296910717816849
0.001,0.5,0.9,0.9,0.12782455982678564,0.3394521263355317
0.001,0.6,0.001,0.001,0.15441890396512414,0.0014476024736888946
0.001,0.6,0.015,0.015,0.15426422932042874,0.003823101555883889
0.001,0.6,0.1,0.1,0.15382842893544346,0.010983410301057879
0.001,0.6,0.2,0.2,0.15319446088226454,0.022445761588236947
0.001,0.6,0.3,0.3,0.15101351993709344,0.05762481784517246
0.001,0.6,0.4,0.4,0.14710612299409026,0.10745690796549873
0.001,0.6,0.5,0.5,0.14380188839579114,0.151367140834107
0.001,0.6,0.6,0.6,0.14201586572251645,0.18434696037007253
0.001,0.6,0.7,0.7,0.14048551080345933,0.20959688031700194
0.001,0.6,0.8,0.8,0.1413043281525732,0.23141295213532845
0.001,0.6,0.9,0.9,0.1432181102132209,0.2408646481125051
0.001,0.7,0.001,0.001,0.1646592551027892,0.0011243274958517497
0.001,0.7,0.015,0.015,0.16460329330142562,0.0025165756821740426
0.001,0.7,0.1,0.1,0.16435019658620967,0.006974486075305817
0.001,0.7,0.2,0.2,0.16403963850212513,0.013455262577445256
0.001,0.7,0.3,0.3,0.16268986933294746,0.030461415145969874
0.001,0.7,0.4,0.4,0.16035629850730831,0.055114446273857816
0.001,0.7,0.5,0.5,0.15827337782617262,0.0814839356711021
0.001,0.7,0.6,0.6,0.15679702289483827,0.10505904772352427
0.001,0.7,0.7,0.7,0.15560410216843792,0.12485787076997044
0.001,0.7,0.8,0.8,0.15622657769322462,0.14403396397107782
0.001,0.7,0.9,0.9,0.15805639051486642,0.15286870412896275
0.001,0.8,0.001,0.001,0.17434823671398916,0.0006464038014632452
0.001,0.8,0.015,0.015,0.17430606869038212,0.001307273105472321
0.001,0.8,0.1,0.1,0.17419340113114004,0.0035309021369668986
0.001,0.8,0.2,0.2,0.17408012770465814,0.0066377387933926465
0.001,0.8,0.3,0.3,0.17333561901142774,0.013667217582525195
0.001,0.8,0.4,0.4,0.17230854782214014,0.024176798049493464
0.001,0.8,0.5,0.5,0.1708444412115414,0.037010063204195455
0.001,0.8,0.6,0.6,0.1697893663717011,0.04993758446488966
0.001,0.8,0.7,0.7,0.1692562275424892,0.061481796096249
0.001,0.8,0.8,0.8,0.16958156078708694,0.07430503195502831
0.001,0.8,0.9,0.9,0.17135391565478508,0.08180688967272183
0.001,0.9,0.001,0.001,0.1832529077758404,0.0002107012467299291
0.001,0.9,0.015,0.015,0.18323885511837185,0.00043593956612512745
0.001,0.9,0.1,0.1,0.18322469842977407,0.0009003513539348182
0.001,0.9,0.2,0.2,0.18323855230550828,0.001785978164101045
0.001,0.9,0.3,0.3,0.1830845874251647,0.00357134238044904
0.001,0.9,0.4,0.4,0.18267701645698595,0.005750074459031525
0.001,0.9,0.5,0.5,0.18235351506114544,0.008771967322025226
0.001,0.9,0.6,0.6,0.18179042614766405,0.01286413994538349
0.001,0.9,0.7,0.7,0.18158012702492704,0.018827092790279158
0.001,0.9,0.8,0.8,0.18170733620259127,0.02380206581506172
0.001,0.9,0.9,0.9,0.18335254832240008,0.029042133316411086
0.015,0.001,0.001,0.001,0.11158858540807834,0.013330502221563487
0.015,0.001,0.015,0.015,0.10931095699134824,0.05527422986760633
0.015,0.001,0.1,0.1,0.09917345969738477,0.225815006156506
0.015,0.001,0.2,0.2,0.08914858325926163,0.3712244307004173
0.015,0.001,0.3,0.3,0.07853014533224249,0.5225108306618844
